Date:,12-May-22,Issue,1,,,,,,,,,,,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,,,,,,,,,,,
Work package,WP5,LhARA Demo,,,,,,,,,,,,,,,,,,,,,
Manager,WPM,"R. McLauchlan, T. Price & C. Welsch",,,,,,,,,,,,,,,,,,,,,
,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,,,,,,,,,,,
Years,Staff,Year 1,Year 2,Total,,Year 1,,,,Year 2,,,,,,,,,,,,,
Flag,,Fraction,Fraction,Fraction,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,,,,,,,,,,
Task,Final design and procurement,,,,,,,,,,,,,,,,,,,,,,
Institute,BHM Physics,,,,,,,,,,,,,,,,,,,,,,
Staff,BHM-Phys-NoOH,0.20,0.20,0.40,,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,,,,,,,,,,
Institute,IC NHS HC Trust,,,,,,,,,,,,,,,,,,,,,,
Staff,IC-NHS-HC-Trst,0.20,0.20,0.40,,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,,,,,,,,,,
Institute,Liverpool Physics,,,,,,,,,,,,,,,,,,,,,,
Staff,Liv-Phys-PDRA,0.50,0.50,1.00,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,,,,,,,,,,
EndStaff,Staff totals FTE,0.90,0.90,1.80,,,,,,,,,,,,,,,,,,,
NonStaffHd,Non staff,£k,£k,,,,,,,,,,,,,,,,,,,,
Task,Final design and procurement,,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,User consultation meetings,5.00,5.00,10.00,,,,,,,,,,,,,,,,,,,
EquipEnd,Sub-total,5.00,5.00,10.00,,,,,,,,,,,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),,,,,,,,,,,,,,,,,,,,,,
TotalEquip,Eqipment total,5.00,5.00,10.00,,,,,,,,,,,,,,,,,,,
Consume,Consumables - (BHM+Liv),7.50,7.50,15.00,,,,,,,,,,,,,,,,,,,
Consume,Cyclotron endstation dev,7.50,7.50,15.00,,,,,,,,,,,,,,,,,,,
Travel,Travel,4.00,4.00,8.00,,,,,,,,,,,,,,,,,,,
Access,Cyclotron accesss costs,7.50,7.50,15.00,,,,,,,,,,,,,,,,,,,
NonStaffEnd,Total non-staff costs,31.50,31.50,63.00,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,,,,,,,,,,,
22-Jul-22,"TP: updating costs for initial activity, changing ananymous tags for costings and removed redundant lines",,,,,,,,,,,,,,,,,,,,,,
12-Jul-22,KL: Strip years 3--5 to leave only Preliminary Activity,,,,,,,,,,,,,,,,,,,,,,
28-Oct-21,Tidy for processing,,,,,,,,,,,,,,,,,,,,,,
06-Oct-21,Adjust BHM staff - KL input,,,,,,,,,,,,,,,,,,,,,,
05-Oct-21,First version CW,,,,,,,,,,,,,,,,,,,,,,
19-Apr-2022,Edit Yr1-5,,,,,,,,,,,,,,,,,,,,,,
17-May-22,KL: Fix student time to get cost right,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,#REF!,,,,,,,,,,,,,,,,,,,,
,,,63.00,,,,,,,,,,,,,,,,,,,,
,,,#REF!,,,,,,,,,,,,,,,,,,,,
