Date:,17-May-22,Issue,3,,,,,,,,,,,,,,,,,,,,,,,,,
Project,LhARA,Laser-hybrid Accelerator for Radiobiological Applications,,,,,,,,,,,,,,,,,,,,,,,,,,
Work package,WP2,Laser-driven proton and ion source,,,,,,,,,,,,,,,,,,,,,,,,,,
Manager,WPM,"E. Boella, N. Dover, R. Gray",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Staff FTE by financial year; quarters are noted for calendar year,,,,,,,,,,,,,,,,,,,
Years, ,Year 1,Year 2,Year 3,Year 4,Year 5,Total,,Year 1,,,,Year 2,,,,Year 3,,,,Year 4,,,,Year 5,,,
Flag,,Fraction,Fraction,Fraction,Fraction,Fraction,Fraction,,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Task,Task 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Institute,Strathclyde Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,Strathclyde-Phys-PDRA-1,0.50,0.50,1.00,2.00,2.00,6.00,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00
Staff,Strathclyde-Phys-Stf-1,0.10,0.10,0.50,0.50,0.50,1.70,,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Staff,Strathclyde-Phys-Tech-1,,,0.20,0.20,0.10,0.50,,,,,,,,,,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.10,0.10,0.10
Staff,Strathclyde-Phys-PG-1,,,0.50,1.00,2.00,3.50,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00
Institute,Imperial Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,IC-Phys-PDRA-1,0.25,0.50,1.50,1.50,1.00,4.75,,,,0.50,0.50,0.50,0.50,0.50,0.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.50,1.00,1.00,1.00,1.00
Staff,IC-Phys-Stf-1,0.50,0.50,0.50,0.50,0.50,2.50,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
Staff,IC-Phys-Tech-1,,,0.20,0.20,0.10,0.50,,,,,,,,,,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.10,0.10,0.10,0.10
Staff,IC-Phys-PG-1,,,0.50,1.00,2.00,3.50,,,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,2.00,2.00,2.00,2.00
Institute,Lancaster Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,Lanc-Phys-Stf-1,0.05,0.05,0.15,0.15,0.10,0.50,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.10,0.10,0.10,0.10
Staff,Lanc-Phys-PDRA-1,0.50,0.50,2.00,2.00,1.00,6.00,,,,1.00,1.00,1.00,1.00,,,2.00,2.00,2.00,2.00,2.00,2.00,2.00,2.00,1.00,1.00,1.00,1.00
Staff,Lanc-Phys-PG-1,,,1.00,1.00,1.00,3.00,,,,,,,,,,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Institute,Queen's Physics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staff,Qns-Phys-Stf-1,0.05,0.05,0.05,0.05,0.05,0.25,,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
Staff,Qns-Phys-PG-1,,0.50,,,,0.50,,,,,,,,1.00,1.00,,,,,,,,,,,,
RiskMitigationStaff,Risk mitigation effort,,,0.50,0.50,0.25,1.25,,,,,,,,,,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.25,0.25,0.25,0.25
EndStaff,Staff totals,1.95,2.70,8.60,10.60,10.60,34.45,,,,,,,,,,,,,,,,,,,,,
NonStaffHd,Non staff,£k,£k,£k,£k,£k,£k,,,,,,,,,,,,,,,,,,,,,
Task,Task 1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Equipment,F/4 Parabola ,,,40.00,,,40.00,,,,,,,,,,,,,,,,,,,,,
Equipment,Storage/ Analysis Cluster,,,,30.00,,30.00,,,,,,,,,,,,,,,,,,,,,
Equipment,Custom Ion TOF spectrometer ,,,20.00,,,20.00,,,,,,,,,,,,,,,,,,,,,
Equipment,Custom Ion TP spectrometer ,,,50.00,,,50.00,,,,,,,,,,,,,,,,,,,,,
Equipment,Custom Proton/Ion imager,,,30.00,,,30.00,,,,,,,,,,,,,,,,,,,,,
Equipment,Laser  Diagnostic/Control Platform ,,,20.00,65.00,65.00,150.00,,,,,,,,,,,,,,,,,,,,,
Equipment,Advaced Target Characterisation,,,25.00,50.00,25.00,100.00,,,,,,,,,,,,,,,,,,,,,
Equipment,Advanced Target Platform,,,25.00,50.00,25.00,100.00,,,,,,,,,,,,,,,,,,,,,
EquipEnd,Sub-total,,,210.00,195.00,115.00,520.00,,,,,,,,,,,,,,,,,,,,,
RiskMitigationEquip,Cost of facility access mitigation ,,,40.00,50.00,70.00,160.00,,,,,,,,,,,,,,,,,,,,,
RiskMitigationEquip,Cost of risk mitigation (equipment),,,10.00,10.00,80.00,100.00,,,,,,,,,,,,,,,,,,,,,
TotalEquip,Equipment total,,,260.00,255.00,265.00,780.00,,,,,,,,,,,,,,,,,,,,,
Consume,Consumables,35.00,35.00,60.00,60.00,60.00,250.00,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,SCAPA Access ,20.00,60.00,120.00,140.00,140.00,480.00,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,Imperial Access,25.00,25.00,40.00,30.00,30.00,150.00,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,Birmingham Accelerator ,,,4.00,4.00,2.00,10.00,,,,,,,,,,,,,,,,,,,,,
Travel,Travel for collaboration meetings/conferences,2.00,4.00,6.00,6.00,6.00,24.00,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,Costs for domestic travel to beamtime at Strathclyde/Imperial,8.00,16.00,11.00,13.00,13.00,61.00,,,,,,,,,,,,,,,,,,,,,
OtherNonStaff,Costs for inviting overseas collaborators (SLAC) to beamtime at Strathclyde,,,3.00,6.00,6.00,15.00,,,,,,,,,,,,,,,,,,,,,
NonStaffEnd,Total non-staff costs,90.00,140.00,504.00,514.00,522.00,1770.00,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Non-staff costs include VAT but not inflation.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update history,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-May-22,KL: Put back student in Lancaster,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-May-22,Updated two travel fields related to travel to beamtime to OtherNonStaff,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-May-22,Specified the travel costs more verbosely,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-Apr-22,ND: I backdated all the changes from edited Ken's document 2022-04-13 including: ,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Changing student/technicial flags to staff, remove outreach/ppi rows, added zeros and fixed averaging in staff costs, and changing Y1 students to Y2 with Ken's modified costing",,,,,,,,,,,,,,,,,,,,,,,,,,,
10-Dec-21,based of WP2-2021-11-05-LhARA sent by Ken on 8 Dec 2021.  Reprofiled to have the same overall cost but now with ~£695k over years 1+2,,,,,,,,,,,,,,,,,,,,,,,,,,,
08-Nov-21,KL: WP1 instead of source at B1; date updated in B1.  Forrmatting in StaffEffort by quarter,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-Oct-21,"ND: added some QUB costs, increased laser diagnostic costs, extended Imperial PDRA to include RAL secondment, slight increase in travel costs for hosting Stanford students",,,,,,,,,,,,,,,,,,,,,,,,,,,
23-Sep-21,ND: changed staffing costs - RF @ Strathclyde and added QUB contribution,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Sep-21,"ND: added some staffing costs for ICL, added travel for year 1, added costing for TOF system, increased laser diagnostic cost to include diagnostic system at ICL for active feedback studies, added as-yet-unspecified engineering fees",,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Aug-21,RG: Added additional staff effort and equpment,,,,,,,,,,,,,,,,,,,,,,,,,,,
26-Aug-21,"KL: fix header info (WP title, WPMs)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,"KL: Change ""Access fees"" flag to OtherNonStaff for now",,,,,,,,,,,,,,,,,,,,,,,,,,,
,Minor cosmetic fixes,,,,,,,,,,,,,,,,,,,,,,,,,,,
02-Jul-21,First version for discussion with CW and DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,3.15,,,,,,,,,,,,,,,,,,,,,,,,,
,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,
,,2yr Total,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,
